aX,aY,aZ,gX,gY,gZ
0.689,0.657,-0.177,6.042,6.714,-15.320
0.672,0.652,-0.117,3.845,2.136,-15.991
0.695,0.639,-0.122,1.770,2.319,-14.282
0.718,0.631,-0.135,0.488,1.770,-11.536
0.707,0.641,-0.116,-2.197,-1.953,-9.460
0.693,0.656,-0.123,-4.395,-1.770,-8.545
0.700,0.661,-0.153,-5.066,-0.061,-9.033
0.697,0.663,-0.176,-3.967,-0.122,-9.827
0.691,0.652,-0.190,-3.662,-1.282,-10.132
0.675,0.653,-0.149,-3.418,-3.784,-9.705
0.661,0.662,-0.134,-4.822,-4.089,-8.789
0.690,0.673,-0.120,-5.493,-2.747,-8.606
0.721,0.701,-0.099,-7.141,-2.441,-8.423
0.737,0.701,-0.100,-7.874,-1.099,-9.277
0.742,0.690,-0.117,-9.094,0.793,-10.559
0.747,0.672,-0.131,-10.376,1.404,-12.024
0.732,0.645,-0.138,-10.620,1.770,-12.512
0.707,0.634,-0.133,-11.230,1.770,-11.719
0.735,0.652,-0.144,-12.268,1.404,-10.864
0.759,0.665,-0.142,-11.108,-0.610,-10.437
0.751,0.657,-0.140,-10.315,-2.563,-10.803
0.737,0.651,-0.133,-10.681,-2.563,-11.414
0.728,0.642,-0.131,-10.071,-1.465,-11.902
0.738,0.635,-0.134,-8.423,-0.610,-11.841
0.752,0.632,-0.124,-7.507,-0.610,-11.902
0.762,0.632,-0.121,-6.958,-0.549,-12.024
0.758,0.619,-0.126,-6.287,-0.793,-12.268
0.766,0.609,-0.140,-4.517,-1.160,-12.451
0.773,0.615,-0.150,-3.235,-1.282,-11.963
0.761,0.612,-0.152,-2.197,-1.038,-11.230
0.771,0.618,-0.137,-1.953,-0.549,-10.376
0.780,0.631,-0.130,-2.136,-0.244,-9.460
0.760,0.616,-0.136,-1.404,0.610,-9.399
0.740,0.601,-0.131,-0.854,1.831,-9.399
0.738,0.599,-0.138,-1.648,2.563,-8.545
0.743,0.577,-0.146,-2.563,2.991,-7.935
0.756,0.578,-0.145,-2.991,3.052,-6.592
0.766,0.587,-0.158,-2.869,3.662,-5.249
0.782,0.610,-0.169,-1.587,3.174,-4.578
0.782,0.611,-0.162,0.732,1.831,-4.822
0.772,0.618,-0.159,2.319,1.221,-5.005
0.749,0.613,-0.157,2.686,0.488,-5.005
0.740,0.615,-0.148,2.502,0.183,-4.639
0.732,0.612,-0.150,1.465,1.038,-3.967
0.727,0.612,-0.150,-0.488,2.808,-2.869
0.730,0.622,-0.146,-3.540,4.578,-1.648
0.742,0.633,-0.152,-5.859,6.409,-0.549
0.747,0.639,-0.158,-6.775,7.080,-0.366
0.750,0.646,-0.152,-7.141,7.019,-0.488
0.748,0.651,-0.158,-7.141,6.775,-0.671
0.745,0.639,-0.178,-6.592,6.653,-1.282
0.735,0.634,-0.185,-6.409,5.432,-1.648
0.720,0.631,-0.168,-6.775,3.784,-1.404
0.731,0.651,-0.144,-6.897,1.953,-0.977
0.760,0.675,-0.130,-5.188,0.854,-1.648
0.765,0.671,-0.131,-3.418,1.160,-2.869
0.740,0.636,-0.142,-1.831,1.770,-4.089
0.718,0.620,-0.156,-2.075,2.197,-4.272
0.718,0.608,-0.172,-2.808,3.174,-3.235
0.711,0.600,-0.174,-3.662,4.272,-2.319
0.707,0.602,-0.183,-5.188,4.944,-0.977
0.718,0.595,-0.200,-6.653,5.127,-0.061
0.736,0.611,-0.199,-6.470,4.333,0.488
0.742,0.598,-0.204,-4.822,2.930,0.122
0.737,0.588,-0.219,-3.113,1.953,-0.122
0.730,0.588,-0.241,-2.380,1.709,0.061
0.725,0.583,-0.244,-2.136,1.038,0.366
0.713,0.583,-0.230,-2.991,0.916,1.465
0.721,0.611,-0.212,-3.967,1.038,2.747
0.745,0.633,-0.213,-4.395,1.282,2.991
0.766,0.650,-0.198,-4.395,0.610,2.625
0.765,0.664,-0.162,-4.822,0.366,2.197

1.344,-0.417,-1.468,17.944,13.306,-9.827
1.245,-0.609,-1.664,18.311,3.906,-5.249
1.143,-0.790,-1.659,19.653,-13.428,1.953
1.088,-0.952,-1.370,27.588,-36.560,5.859
1.088,-0.879,-1.118,48.401,-50.293,21.545
1.021,-0.839,-0.868,93.079,-64.453,35.339
0.876,-0.829,-0.615,143.799,-80.627,42.603
0.603,-0.814,-0.480,186.096,-97.717,59.021
0.314,-0.641,-0.264,207.642,-113.586,89.294
0.243,-0.124,-0.050,195.557,-117.126,131.958
0.228,0.476,0.083,155.518,-103.210,165.466
0.049,0.885,0.148,121.460,-86.731,176.270
-0.224,1.189,0.294,89.111,-84.167,170.288
-0.379,1.642,0.553,50.598,-93.323,162.292
-0.388,1.950,0.892,8.850,-102.905,150.269
-0.480,1.948,1.320,-27.100,-106.201,130.737
-0.553,1.921,1.773,-59.875,-96.863,110.840
-0.520,1.905,2.076,-77.637,-75.256,95.947
-0.369,1.952,2.218,-73.914,-48.889,86.365
-0.258,1.991,2.214,-51.086,-23.926,73.059
-0.187,1.920,2.012,-21.606,0.244,52.246
-0.140,1.817,1.732,0.488,21.057,33.203
-0.094,1.679,1.356,17.029,41.870,16.785
-0.022,1.523,0.952,27.100,61.035,1.953
-0.031,1.325,0.543,30.640,75.806,-9.277
0.001,1.139,0.142,29.907,84.900,-15.442
0.007,0.987,-0.175,21.301,84.717,-17.761
0.038,0.877,-0.374,7.446,76.050,-16.785
0.085,0.827,-0.461,-2.747,61.707,-14.587
0.197,0.806,-0.451,-9.644,43.274,-12.329
0.286,0.823,-0.284,-16.479,23.376,-12.146
0.384,0.828,-0.146,-20.264,11.475,-16.296
0.410,0.761,-0.034,-17.029,7.446,-24.902
0.391,0.670,0.056,-12.939,5.798,-31.982
0.458,0.627,0.083,-4.639,5.676,-34.546
0.481,0.569,0.096,3.540,4.883,-35.828
0.524,0.551,0.109,8.728,4.639,-33.569
0.558,0.567,0.092,12.817,5.859,-29.297
0.573,0.605,0.073,13.855,8.118,-25.208
0.600,0.663,0.042,12.878,10.498,-21.790
0.622,0.697,0.003,11.414,11.414,-20.447
0.601,0.710,-0.000,11.230,9.399,-19.775
0.584,0.724,-0.011,8.972,7.690,-19.592
0.584,0.708,-0.050,4.517,7.324,-19.226
0.569,0.701,-0.045,-0.427,5.066,-17.151
0.556,0.706,-0.024,-6.531,1.221,-13.611
0.567,0.715,0.007,-12.268,-1.282,-10.376
0.583,0.738,0.048,-16.907,-1.892,-8.118
0.609,0.764,0.069,-19.470,-1.221,-6.592
0.617,0.752,0.070,-19.226,-0.366,-7.385
0.607,0.749,0.060,-18.311,-0.549,-8.362
0.626,0.761,0.047,-17.029,-0.183,-8.118
0.637,0.763,0.048,-15.564,-1.343,-8.362
0.636,0.770,0.050,-14.587,-0.977,-8.301
0.650,0.789,0.022,-15.442,0.366,-8.057
0.646,0.793,0.025,-16.663,0.977,-8.240
0.637,0.784,0.036,-17.944,1.343,-8.911
0.635,0.787,0.037,-19.470,2.380,-9.521
0.649,0.784,0.028,-20.264,3.235,-10.193
0.665,0.774,0.015,-20.813,3.296,-11.047
0.667,0.798,0.033,-21.790,1.770,-11.414
0.671,0.796,0.047,-19.958,1.160,-12.817
0.674,0.777,0.019,-17.212,2.625,-15.198
0.678,0.763,-0.004,-15.930,3.479,-16.235
0.663,0.750,-0.029,-15.564,3.052,-16.479
0.662,0.741,-0.033,-14.832,3.418,-16.541
0.670,0.754,-0.041,-15.930,3.235,-15.381
0.676,0.755,-0.042,-17.151,2.563,-14.771
0.683,0.768,-0.029,-18.311,1.160,-14.343
0.680,0.754,-0.025,-18.188,0.183,-14.221
0.682,0.744,-0.013,-17.029,-0.549,-14.404
0.679,0.742,0.000,-16.113,-1.160,-14.404
0.688,0.730,0.002,-14.160,-1.221,-14.404
0.707,0.717,0.005,-11.841,-0.244,-14.709
0.716,0.709,-0.009,-10.498,1.343,-14.893
0.720,0.698,-0.022,-8.789,2.808,-14.709
0.724,0.688,-0.038,-7.568,3.662,-14.709
0.742,0.699,-0.070,-6.836,3.601,-14.832
0.738,0.703,-0.083,-4.883,1.343,-15.015
0.718,0.702,-0.066,-2.930,-1.099,-15.198
0.710,0.712,-0.069,-1.465,-2.197,-15.320
0.722,0.712,-0.098,-0.610,-2.075,-15.259
0.724,0.707,-0.094,-0.244,-4.028,-14.343
0.715,0.698,-0.064,-0.916,-6.042,-13.550
0.717,0.690,-0.048,-2.747,-5.554,-12.146
0.721,0.687,-0.029,-4.395,-4.028,-10.986
0.716,0.689,-0.015,-5.920,-2.258,-9.644
0.715,0.686,-0.015,-7.080,-0.061,-8.423
0.731,0.694,-0.001,-7.446,1.892,-7.751
0.747,0.696,-0.007,-8.240,3.784,-7.874
0.751,0.708,-0.011,-8.789,5.249,-8.606
0.744,0.684,-0.017,-8.179,6.714,-9.277
0.735,0.659,-0.036,-7.324,7.812,-10.010
0.718,0.654,-0.044,-6.653,8.667,-9.460
0.703,0.655,-0.063,-6.348,8.179,-7.812
0.691,0.656,-0.065,-6.897,5.859,-6.531
0.689,0.666,-0.063,-7.629,4.089,-4.822
0.694,0.676,-0.051,-7.874,2.563,-3.723
0.689,0.682,-0.030,-8.972,1.892,-2.747
0.712,0.707,-0.014,-10.620,1.892,-2.136
0.745,0.717,-0.017,-11.169,2.563,-2.441
0.745,0.726,-0.013,-10.864,1.892,-3.357
0.729,0.709,-0.003,-9.827,1.160,-4.883
0.722,0.704,-0.012,-9.216,1.526,-6.104
0.725,0.701,-0.021,-8.972,2.930,-7.019
0.728,0.688,-0.045,-9.338,4.578,-7.507
0.713,0.674,-0.063,-10.559,5.981,-7.446
0.701,0.665,-0.084,-12.390,7.690,-6.775
0.687,0.659,-0.110,-15.015,9.521,-5.859
0.674,0.667,-0.121,-18.311,9.766,-4.822
0.680,0.668,-0.122,-21.057,9.216,-3.784
0.670,0.657,-0.102,-22.766,8.240,-3.235
0.672,0.651,-0.068,-23.132,7.202,-2.563
0.637,0.641,0.001,-24.780,7.935,-1.709
0.717,0.654,-0.081,-20.020,12.329,-0.183
0.725,0.692,-0.059,-17.761,12.329,-0.671
0.755,0.714,-0.030,-22.644,12.756,-1.953
0.761,0.735,-0.055,-22.705,13.977,-4.028
0.771,0.743,-0.074,-17.883,14.709,-6.653

-0.014,1.951,1.122,76.355,-55.481,96.558
-0.025,2.086,1.153,55.725,-35.156,79.041
0.001,2.049,1.054,35.706,-16.113,56.580
-0.015,1.962,1.008,21.606,-4.333,37.415
0.008,1.866,0.981,8.240,3.723,22.888
0.088,1.789,0.965,-1.099,10.498,9.033
0.165,1.629,0.893,-5.188,21.423,-6.287
0.220,1.432,0.774,-5.493,35.767,-20.691
0.241,1.220,0.612,-4.700,48.523,-31.067
0.241,1.044,0.412,-4.822,60.364,-37.354
0.207,0.868,0.197,-4.761,68.115,-40.405
0.188,0.741,-0.017,-4.700,71.411,-39.368
0.188,0.643,-0.218,-4.639,68.237,-35.095
0.181,0.593,-0.350,-5.127,59.448,-27.710
0.214,0.603,-0.411,-7.263,47.241,-18.250
0.292,0.692,-0.375,-10.010,31.494,-8.606
0.458,0.837,-0.247,-14.038,16.602,-1.343
0.537,0.857,-0.131,-13.306,9.827,-3.845
0.540,0.801,-0.080,-10.071,8.789,-10.620
0.533,0.750,-0.067,-8.240,9.277,-15.320
0.560,0.724,-0.072,-8.301,9.033,-16.479
0.573,0.731,-0.095,-5.981,8.423,-14.771
0.578,0.747,-0.072,-2.808,5.371,-11.719
0.599,0.801,-0.035,-3.174,2.563,-9.888
0.611,0.832,-0.019,-2.502,2.380,-9.399
0.615,0.824,-0.023,-1.221,4.761,-10.559
0.622,0.825,-0.029,-2.380,6.348,-10.742
0.625,0.836,-0.025,-5.188,7.446,-10.681
0.620,0.841,-0.024,-6.836,9.094,-11.169
0.622,0.852,-0.039,-8.240,11.353,-11.780
0.624,0.863,-0.046,-9.155,12.268,-13.306
0.623,0.858,-0.054,-9.277,11.963,-15.686
0.617,0.834,-0.074,-9.033,11.841,-18.127
0.629,0.804,-0.118,-9.094,11.353,-18.860
0.621,0.759,-0.130,-9.094,9.277,-18.738
0.613,0.731,-0.128,-11.230,5.920,-17.334
0.609,0.737,-0.097,-14.343,3.052,-15.259
0.624,0.739,-0.075,-15.442,3.052,-14.465
0.640,0.734,-0.088,-15.015,4.456,-14.648
0.656,0.726,-0.090,-12.756,4.211,-15.686
0.665,0.706,-0.089,-9.705,2.930,-16.846
0.669,0.682,-0.102,-7.263,3.113,-17.090
0.666,0.666,-0.115,-6.287,4.639,-16.052
