aX,aY,aZ,gX,gY,gZ
0.364,-0.725,0.744,-38.269,-38.330,-4.944
0.344,-0.745,0.784,-35.522,-35.767,-3.174
0.334,-0.735,0.777,-32.593,-28.748,0.122
0.344,-0.713,0.744,-30.701,-20.630,4.700
0.352,-0.685,0.724,-30.029,-13.550,8.667
0.360,-0.672,0.699,-30.090,-8.118,11.047
0.390,-0.633,0.663,-30.151,-4.395,11.658
0.448,-0.598,0.624,-31.677,-4.883,10.010
0.464,-0.623,0.635,-32.837,-11.841,4.517
0.424,-0.647,0.689,-33.813,-22.949,-1.465
0.379,-0.686,0.741,-32.837,-31.982,-5.554
0.350,-0.704,0.764,-31.189,-37.354,-7.080
0.337,-0.689,0.809,-29.480,-38.879,-5.676
0.334,-0.681,0.812,-27.588,-34.241,-3.479
0.342,-0.669,0.765,-26.489,-26.001,-1.465
0.314,-0.640,0.832,-26.917,-20.874,1.831
0.362,-0.613,0.736,-26.123,-9.705,6.836
0.395,-0.628,0.746,-26.794,-3.052,8.484
0.351,-0.567,0.809,-29.236,-1.709,10.925
0.388,-0.611,0.695,-28.320,5.249,10.132
0.406,-0.569,0.726,-29.358,0.977,10.193
0.389,-0.578,0.760,-27.954,-8.057,6.042
0.391,-0.587,0.709,-25.879,-12.451,1.831
0.367,-0.602,0.750,-25.146,-21.118,-0.854
0.351,-0.609,0.788,-24.658,-27.222,-1.953
0.336,-0.603,0.837,-24.780,-27.466,-1.160
0.342,-0.595,0.830,-24.780,-20.508,1.343
0.351,-0.598,0.782,-25.330,-10.559,3.418
0.349,-0.588,0.793,-27.222,-6.470,5.432
0.347,-0.569,0.815,-28.198,-4.150,6.653

0.294,-0.716,1.872,0.671,-34.607,-7.874
0.284,-0.873,2.290,5.859,-31.006,-3.174
0.290,-1.009,2.668,17.883,-11.414,2.075
0.333,-1.130,2.925,36.865,20.447,9.155
0.322,-1.172,3.079,61.401,50.049,19.043
0.312,-1.099,3.179,87.036,76.599,27.954
0.335,-1.176,3.034,118.774,103.821,30.884
0.339,-1.013,2.812,148.987,124.023,38.635
0.443,-0.686,2.570,171.875,143.005,50.964
0.531,-0.567,2.264,193.481,168.091,53.345
0.523,-0.322,1.928,209.229,194.702,53.833
0.482,-0.076,1.556,222.046,218.994,52.612
0.437,0.141,1.135,227.356,239.502,46.265
0.315,0.265,0.735,229.248,251.526,34.912
0.195,0.416,0.347,225.647,256.653,25.391
0.091,0.458,-0.040,219.971,257.019,18.555
-0.032,0.576,-0.307,209.839,250.122,13.367
-0.029,0.582,-0.615,196.289,245.483,3.784
-0.002,0.443,-0.888,183.777,217.712,-10.803
-0.087,0.384,-0.866,168.152,165.161,-18.738
-0.092,0.250,-0.833,148.254,134.827,-24.292
-0.064,0.061,-0.795,133.423,113.342,-25.879
-0.104,-0.115,-0.641,117.371,92.957,-24.658
-0.197,-0.185,-0.556,103.271,83.740,-17.578
-0.216,-0.258,-0.524,91.248,82.458,-6.958
-0.166,-0.317,-0.582,83.252,81.726,0.122
-0.083,-0.354,-0.613,74.036,73.425,5.615
0.012,-0.359,-0.593,61.890,59.753,8.789
0.151,-0.397,-0.550,50.110,44.861,7.935
0.221,-0.436,-0.511,36.377,31.433,3.906
0.245,-0.504,-0.417,22.400,17.944,-0.244
0.279,-0.541,-0.332,9.949,5.615,-2.930
0.340,-0.618,-0.249,1.892,-6.226,-6.348
0.376,-0.673,-0.113,-4.333,-21.484,-9.766
0.396,-0.704,-0.003,-9.277,-32.776,-11.475
0.413,-0.768,0.076,-12.451,-37.415,-12.817
0.422,-0.812,0.208,-14.709,-40.344,-11.353
0.448,-0.852,0.296,-15.381,-37.476,-7.324
0.504,-0.851,0.354,-14.587,-28.931,-2.991
0.557,-0.858,0.358,-12.573,-18.799,0.610
0.588,-0.847,0.344,-10.620,-11.841,3.418
0.576,-0.833,0.279,-9.033,-6.714,4.639
0.553,-0.799,0.205,-8.911,-3.540,6.409
0.550,-0.737,0.139,-9.766,-2.747,9.033
0.553,-0.679,0.029,-10.803,-2.563,9.644
0.522,-0.629,-0.057,-13.184,-4.578,8.423
0.486,-0.581,-0.123,-17.029,-9.583,7.324
0.460,-0.534,-0.212,-21.545,-15.747,5.676
0.438,-0.489,-0.245,-26.917,-24.780,3.845
0.419,-0.412,-0.318,-33.752,-34.119,1.221
0.392,-0.361,-0.393,-41.138,-43.518,-2.747
0.356,-0.304,-0.435,-51.453,-54.260,-6.287
0.320,-0.267,-0.429,-64.148,-64.331,-9.460
0.294,-0.246,-0.385,-77.148,-72.083,-11.292
0.252,-0.273,-0.315,-89.600,-77.332,-12.939
0.184,-0.296,-0.208,-99.670,-82.397,-14.038
0.200,-0.303,-0.149,-107.117,-88.135,-14.038
0.238,-0.376,0.001,-111.084,-105.469,-16.846
0.274,-0.404,0.230,-115.112,-128.296,-20.203
0.286,-0.439,0.392,-116.882,-142.700,-24.597
0.286,-0.451,0.466,-118.530,-145.203,-27.466
0.269,-0.501,0.579,-122.620,-143.066,-27.527
0.250,-0.505,0.686,-127.502,-136.414,-24.414
0.256,-0.493,0.704,-131.348,-122.070,-19.348
0.311,-0.443,0.669,-135.681,-107.117,-15.076
0.311,-0.511,0.713,-138.550,-104.614,-16.235
0.252,-0.556,0.833,-140.625,-112.061,-16.968
0.213,-0.643,0.958,-138.428,-115.723,-15.015
0.173,-0.696,0.996,-131.592,-111.511,-8.423
0.161,-0.548,1.087,-124.268,-103.577,0.549
0.259,-0.490,0.860,-115.356,-80.322,10.315
0.429,-0.375,0.764,-115.479,-70.862,12.756
0.342,-0.269,0.876,-123.718,-81.421,11.780
0.426,-0.450,0.854,-131.226,-85.999,0.916
0.389,-0.216,0.916,-143.860,-92.773,-3.113
0.439,-0.296,1.077,-152.710,-105.469,-6.287
0.438,-0.267,1.160,-152.039,-106.201,-18.066
0.516,-0.227,1.269,-148.743,-108.276,-26.794
0.502,-0.488,1.517,-137.390,-127.258,-43.213
0.301,-0.734,1.901,-124.390,-157.471,-57.922
0.145,-0.877,2.189,-110.046,-163.391,-61.951
0.100,-0.915,2.279,-89.661,-142.334,-51.636
0.117,-0.920,2.195,-66.589,-104.797,-36.499
0.177,-0.884,2.040,-49.683,-63.599,-19.836
0.201,-0.814,1.883,-37.231,-29.785,-4.456
0.203,-0.747,1.693,-25.146,-3.052,6.714
0.206,-0.680,1.434,-15.320,18.616,14.648
0.215,-0.594,1.203,-8.789,30.029,20.386
0.222,-0.526,1.036,-5.066,30.334,23.010
0.243,-0.449,0.904,-4.150,24.231,22.156
0.261,-0.363,0.753,-4.761,15.686,18.799
0.235,-0.282,0.702,-8.911,4.944,14.648
0.269,-0.235,0.692,-15.076,-1.831,8.545
0.312,-0.246,0.747,-18.982,-8.911,1.587
0.269,-0.338,0.842,-20.874,-18.005,-6.409
0.156,-0.418,1.041,-21.973,-26.550,-10.132
0.093,-0.475,1.193,-18.982,-25.452,-7.019
0.101,-0.499,1.202,-11.780,-13.123,-2.014
0.121,-0.459,1.174,-6.165,0.427,4.883
0.138,-0.382,1.119,-2.502,14.038,11.292
0.162,-0.336,0.997,-0.244,28.259,13.306
0.187,-0.340,0.900,-0.488,32.471,12.878
0.207,-0.287,0.909,-3.113,24.475,12.024
0.212,-0.320,0.854,-4.089,15.137,6.409
0.191,-0.353,0.876,-4.272,1.343,0.549
0.165,-0.392,0.948,-3.418,-13.794,-2.075
0.157,-0.406,0.968,-1.953,-20.813,-3.235
0.157,-0.421,0.984,-0.488,-19.958,-3.113
0.153,-0.437,1.001,0.427,-14.648,-1.709
0.147,-0.423,1.001,0.305,-5.981,1.282
0.162,-0.404,0.979,0.427,3.174,4.761
0.176,-0.390,0.951,1.038,9.705,7.202
0.178,-0.358,0.941,1.282,12.878,7.996
0.221,-0.317,0.915,1.160,15.015,6.897
0.260,-0.341,0.876,1.587,12.085,3.052
0.254,-0.374,0.910,0.061,2.380,-1.465
0.185,-0.429,0.989,-0.183,-7.202,-4.150
0.150,-0.447,1.032,0.916,-10.681,-3.723
0.169,-0.449,1.015,3.723,-7.996,-1.587

0.236,-0.776,2.012,47.546,26.062,19.043
0.233,-0.797,2.031,61.829,49.988,24.353
0.254,-0.741,2.065,75.378,65.369,29.663
0.297,-0.798,2.113,89.111,70.435,30.212
0.305,-0.856,2.203,103.760,67.810,29.053
0.347,-0.891,2.304,118.225,65.796,29.236
0.356,-0.937,2.352,135.681,66.772,30.029
0.371,-0.859,2.374,154.907,74.158,34.058
0.367,-0.749,2.293,173.035,93.262,40.039
0.421,-0.616,2.075,189.209,123.413,44.922
0.481,-0.471,1.814,198.914,151.611,48.401
0.489,-0.328,1.577,204.895,171.814,45.837
0.491,-0.189,1.331,207.642,186.218,43.884
0.478,-0.201,1.112,212.463,192.566,35.278
0.406,-0.060,0.952,214.600,193.298,33.020
0.364,-0.000,0.718,217.957,199.768,29.602
0.285,0.128,0.405,222.412,210.693,28.381
0.150,0.305,0.138,223.816,227.356,23.621
0.081,0.367,-0.330,219.482,251.099,14.465
-0.103,0.327,-0.653,214.539,241.516,8.240
-0.329,0.406,-0.859,204.224,219.482,14.099
-0.415,0.442,-1.166,184.387,227.539,19.226
-0.442,0.414,-1.536,161.804,235.779,23.010
-0.417,0.408,-1.760,131.897,219.788,25.146
-0.372,0.347,-1.854,101.135,182.007,20.203
-0.323,0.252,-1.831,73.730,130.493,8.301
-0.278,0.108,-1.651,46.570,68.604,-4.211
-0.199,-0.019,-1.303,18.433,7.935,-14.771
-0.185,-0.219,-0.942,-3.662,-37.109,-24.170
-0.136,-0.379,-0.581,-21.667,-64.941,-26.367
-0.025,-0.510,-0.318,-34.790,-82.092,-23.987
0.123,-0.608,-0.060,-43.884,-91.248,-20.325
0.318,-0.635,0.132,-51.270,-95.032,-18.188
0.458,-0.716,0.264,-55.237,-97.534,-20.691
0.536,-0.792,0.384,-57.556,-100.952,-25.818
0.584,-0.874,0.495,-56.885,-105.713,-31.067
0.634,-0.959,0.571,-53.589,-109.741,-34.607
0.649,-1.021,0.680,-49.683,-112.671,-34.668
0.670,-1.057,0.777,-44.922,-108.521,-32.166
0.684,-1.097,0.815,-39.734,-95.093,-28.015
0.697,-1.090,0.794,-33.569,-74.646,-21.912
0.720,-1.080,0.729,-26.794,-55.603,-15.442
0.726,-1.041,0.669,-20.203,-42.358,-8.728
0.730,-1.028,0.587,-14.771,-29.297,-3.784
0.730,-0.942,0.553,-11.658,-18.738,-0.427
0.752,-0.903,0.511,-7.446,-12.817,2.563
0.781,-0.840,0.489,-4.395,-7.385,1.892
0.743,-0.818,0.394,-3.662,0.000,-2.075
0.661,-0.829,0.330,-2.808,2.258,-5.676
0.606,-0.805,0.329,-3.601,-1.648,-6.653
0.576,-0.851,0.358,-3.418,-5.249,-7.446
0.533,-0.846,0.410,-4.272,-6.775,-6.104
0.500,-0.866,0.469,-4.333,-6.104,-3.479
0.498,-0.851,0.471,-2.869,-0.916,-1.831
0.499,-0.855,0.428,-0.916,4.700,-0.244
0.500,-0.852,0.397,-0.061,6.165,1.648
0.484,-0.852,0.372,0.305,4.944,2.686
0.477,-0.850,0.358,0.366,6.348,2.136
0.474,-0.842,0.312,0.610,6.714,1.892
0.486,-0.835,0.320,1.953,1.221,1.648
0.498,-0.825,0.335,2.869,-3.540,0.732
0.498,-0.840,0.329,3.357,-4.578,-0.977
0.476,-0.860,0.347,4.150,-5.676,-2.502
0.459,-0.875,0.389,5.493,-6.714,-2.197
0.453,-0.871,0.402,7.019,-4.883,-0.610
0.465,-0.850,0.369,8.545,-1.221,2.075
0.463,-0.827,0.353,9.521,1.587,4.639
0.483,-0.788,0.324,9.888,4.089,6.470
0.529,-0.753,0.285,10.620,5.188,6.836
0.560,-0.740,0.233,10.620,2.075,4.944
0.544,-0.737,0.224,9.521,-4.150,1.709
0.535,-0.741,0.253,8.118,-9.949,-0.916
0.551,-0.757,0.290,7.751,-12.817,-2.075
0.546,-0.763,0.312,6.775,-13.123,-2.197
0.522,-0.766,0.325,5.005,-9.277,-1.709
0.520,-0.783,0.313,3.967,-3.601,-1.160
0.528,-0.771,0.316,3.784,-1.648,0.122
